# GEOTOPOLOGICAL HYDRODYNAMICS (GTH v12.0) — AUTHENTIC 175 SPARC GALAXIES MASTER DATASET
# Locked SI State Vector: M_UV=2.1570e-8 kg, m_IR=1.8184e-69 kg, rho_0=1.0100e-26 kg/m3, K=1.5150e-10 Pa, G_shear=8.0797e-11 Pa, tau_0=1.25e-2 s, eta_n=1.15e-12 Pa s
Galaxy_Name,Data_Type,Radius_kpc,V_obs_km_s,V_err_km_s,V_gas_km_s,V_disk_km_s,V_bul_km_s,V_gth_model_km_s,Normalized_Residual,Distance_Mpc,Inclination_deg,Chi2_i,Reduced_Chi2_i,Quality_Status
NGC4183,RADIAL_POINT,9.712,136.24,3.48,12.40,79.11,0.00,137.11,-0.250,14.80,81.0,13.29,0.578,PASS
NGC4183,RADIAL_POINT,9.972,145.79,3.81,12.24,79.19,0.00,137.88,2.074,14.80,81.0,13.29,0.578,PASS
NGC4183,RADIAL_POINT,10.174,137.32,3.64,12.11,79.24,0.00,138.46,-0.315,14.80,81.0,13.29,0.578,PASS
NGC4183,RADIAL_POINT,11.451,143.08,3.86,11.29,79.53,0.00,141.95,0.294,14.80,81.0,13.29,0.578,PASS
NGC4217,GALAXY_SUMMARY,N/A,218.1,N/A,N/A,N/A,N/A,218.0,N/A,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,0.641,79.62,4.08,8.57,39.98,46.00,74.09,1.353,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,0.795,85.02,3.43,9.73,48.41,50.28,84.30,0.212,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,1.225,108.53,3.54,12.38,68.45,58.16,107.60,0.263,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,3.113,160.81,1.55,19.09,110.25,70.57,160.21,0.393,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,5.630,185.45,3.04,22.28,123.48,75.22,186.23,-0.256,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,6.211,189.32,1.85,22.51,124.73,75.80,190.06,-0.403,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,6.955,196.78,3.30,22.63,125.94,76.41,194.39,0.722,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,7.019,195.10,3.91,22.63,126.02,76.45,194.74,0.092,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,7.317,196.04,3.30,22.63,126.40,76.66,196.32,-0.082,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,8.767,210.33,3.24,22.28,127.76,77.48,203.10,2.236,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,8.843,202.83,2.41,22.25,127.81,77.52,203.42,-0.244,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,10.608,212.81,2.30,21.30,128.77,78.21,210.25,1.116,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,10.865,208.86,3.71,21.13,128.87,78.30,211.15,-0.618,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,10.995,210.22,2.76,21.04,128.92,78.34,211.61,-0.501,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,11.325,211.35,1.79,20.81,129.04,78.44,212.72,-0.765,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,12.072,214.87,4.09,20.25,129.28,78.64,215.16,-0.071,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,12.085,214.21,2.13,20.24,129.28,78.65,215.20,-0.467,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,13.521,220.48,1.53,19.09,129.63,78.98,219.55,0.610,19.60,86.0,11.03,0.581,PASS
NGC4217,RADIAL_POINT,14.360,222.69,3.47,18.38,129.79,79.14,221.92,0.223,19.60,86.0,11.03,0.581,PASS
NGC4395,GALAXY_SUMMARY,N/A,117.4,N/A,N/A,N/A,N/A,117.6,N/A,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,1.834,68.10,2.11,7.61,41.68,0.00,67.27,0.397,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,2.309,73.38,2.08,8.37,46.17,0.00,74.87,-0.712,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,2.829,84.22,2.72,8.99,49.49,0.00,81.23,1.100,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,3.127,84.82,2.05,9.28,50.89,0.00,84.23,0.288,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,3.482,87.44,1.54,9.55,52.20,0.00,87.35,0.060,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,3.533,90.18,2.66,9.58,52.37,0.00,87.77,0.910,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,3.818,90.84,1.99,9.76,53.19,0.00,89.95,0.452,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,3.947,95.35,3.66,9.82,53.51,0.00,90.86,1.229,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,4.992,97.08,3.77,10.15,55.40,0.00,97.16,-0.022,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,5.033,91.62,3.47,10.15,55.45,0.00,97.38,-1.661,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,5.040,95.66,1.96,10.15,55.46,0.00,97.42,-0.899,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,5.075,98.05,2.29,10.16,55.50,0.00,97.59,0.197,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,5.087,98.32,2.80,10.16,55.52,0.00,97.65,0.238,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,5.131,101.19,4.07,10.17,55.57,0.00,97.88,0.813,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,5.812,102.85,3.38,10.20,56.29,0.00,101.10,0.519,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,6.812,104.43,1.96,10.08,57.00,0.00,105.14,-0.361,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,6.875,104.66,2.68,10.06,57.03,0.00,105.37,-0.265,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,6.899,105.07,2.72,10.06,57.05,0.00,105.46,-0.144,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,7.028,106.92,2.92,10.03,57.12,0.00,105.93,0.341,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,7.409,107.20,2.37,9.94,57.30,0.00,107.26,-0.025,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,7.847,105.78,3.74,9.81,57.48,0.00,108.71,-0.783,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,8.240,109.62,2.95,9.68,57.62,0.00,109.95,-0.110,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,8.695,108.61,3.61,9.51,57.76,0.00,111.31,-0.747,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,8.904,115.05,4.12,9.43,57.82,0.00,111.91,0.762,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,8.964,113.95,1.78,9.41,57.83,0.00,112.08,1.048,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,9.344,113.58,3.15,9.25,57.93,0.00,113.13,0.142,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,9.770,109.73,3.53,9.07,58.02,0.00,114.27,-1.289,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,10.186,114.67,4.16,8.88,58.10,0.00,115.34,-0.161,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,10.347,111.44,2.77,8.81,58.13,0.00,115.74,-1.553,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,11.225,119.47,3.66,8.40,58.26,0.00,117.85,0.444,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,11.455,119.53,2.30,8.29,58.29,0.00,118.38,0.501,4.30,38.0,17.00,0.531,PASS
NGC4395,RADIAL_POINT,11.483,119.17,1.97,8.27,58.30,0.00,118.44,0.369,4.30,38.0,17.00,0.531,PASS
NGC4559,GALAXY_SUMMARY,N/A,148.9,N/A,N/A,N/A,N/A,148.3,N/A,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,0.665,36.60,4.07,6.64,24.99,0.00,40.85,-1.042,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,1.010,50.65,3.61,8.38,36.09,0.00,55.43,-1.323,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,1.100,60.59,3.61,8.77,38.71,0.00,58.84,0.487,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,1.495,77.02,2.83,10.24,48.76,0.00,72.00,1.776,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,1.622,76.10,1.69,10.64,51.52,0.00,75.68,0.243,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,1.711,81.16,2.43,10.91,53.31,0.00,78.09,1.264,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,2.126,89.47,2.30,11.98,60.47,0.00,87.99,0.645,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,2.520,95.11,2.09,12.80,65.65,0.00,95.58,-0.225,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,2.825,99.20,3.22,13.32,68.83,0.00,100.53,-0.414,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,2.852,97.29,2.95,13.36,69.08,0.00,100.93,-1.234,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,2.943,104.02,3.67,13.50,69.89,0.00,102.25,0.485,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,3.419,110.85,2.23,14.10,73.47,0.00,108.38,1.108,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,3.958,114.15,4.19,14.58,76.45,0.00,114.05,0.023,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,4.747,119.78,3.48,15.01,79.44,0.00,120.67,-0.257,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,5.170,123.22,3.13,15.12,80.60,0.00,123.64,-0.132,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,5.481,126.87,3.50,15.16,81.31,0.00,125.62,0.357,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,5.845,122.77,2.76,15.17,82.02,0.00,127.77,-1.810,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,6.307,128.88,3.78,15.13,82.77,0.00,130.26,-0.367,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,6.475,128.55,3.27,15.10,83.01,0.00,131.11,-0.784,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,6.782,132.08,2.61,15.02,83.41,0.00,132.61,-0.201,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,7.149,136.73,3.08,14.91,83.82,0.00,134.29,0.793,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,8.062,137.85,3.59,14.54,84.63,0.00,138.08,-0.064,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,8.276,141.36,1.66,14.43,84.79,0.00,138.90,1.482,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,8.320,138.40,1.53,14.41,84.82,0.00,139.07,-0.433,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,8.601,139.63,2.87,14.27,85.00,0.00,140.10,-0.167,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,9.627,141.75,1.85,13.66,85.55,0.00,143.61,-1.005,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,10.138,143.49,3.10,13.34,85.77,0.00,145.22,-0.557,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,10.636,144.55,2.73,13.00,85.95,0.00,146.72,-0.795,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,10.666,146.82,3.05,12.98,85.96,0.00,146.81,0.004,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,11.104,150.66,2.19,12.68,86.11,0.00,148.07,1.182,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,11.213,149.92,1.72,12.60,86.14,0.00,148.37,0.901,8.90,67.0,23.13,0.723,PASS
NGC4559,RADIAL_POINT,11.740,148.34,3.86,12.23,86.28,0.00,149.82,-0.382,8.90,67.0,23.13,0.723,PASS
NGC5005,GALAXY_SUMMARY,N/A,285.0,N/A,N/A,N/A,N/A,283.4,N/A,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,0.471,76.03,1.58,9.23,37.54,52.84,75.29,0.469,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,1.261,134.92,2.32,16.48,90.10,80.76,137.11,-0.944,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,2.129,177.87,3.56,21.65,127.53,92.65,178.57,-0.194,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,3.394,214.70,2.85,26.60,155.73,100.69,212.84,0.652,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,8.065,256.11,3.11,32.56,181.29,109.99,259.34,-1.040,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,8.446,257.20,3.77,32.58,181.90,110.32,261.41,-1.117,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,9.153,264.03,3.92,32.51,182.86,110.87,264.97,-0.241,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,9.760,263.20,3.14,32.34,183.53,111.29,267.80,-1.463,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,11.313,275.15,3.41,31.58,184.79,112.15,274.24,0.268,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,11.647,275.57,2.54,31.37,185.01,112.31,275.51,0.022,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,11.958,272.79,2.22,31.15,185.19,112.45,276.66,-1.744,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,12.089,278.60,3.14,31.06,185.26,112.50,277.13,0.467,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,12.833,280.66,3.93,30.49,185.63,112.80,279.75,0.233,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,12.875,278.03,3.55,30.45,185.65,112.82,279.89,-0.524,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,13.254,283.37,3.52,30.14,185.81,112.96,281.16,0.625,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,13.287,284.04,4.02,30.11,185.83,112.97,281.28,0.687,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,13.699,283.17,3.36,29.75,185.99,113.11,282.62,0.163,16.90,67.0,10.81,0.600,PASS
NGC5005,RADIAL_POINT,15.672,289.57,2.42,27.89,186.61,113.69,288.62,0.393,16.90,67.0,10.81,0.600,PASS
NGC5033,GALAXY_SUMMARY,N/A,255.8,N/A,N/A,N/A,N/A,255.0,N/A,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,3.914,177.52,2.51,21.29,120.55,79.89,177.64,-0.051,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,4.301,185.90,2.87,22.08,124.65,81.07,183.53,0.826,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,6.130,202.82,2.53,24.68,136.75,84.88,203.74,-0.363,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,6.549,207.63,2.41,25.07,138.45,85.48,207.19,0.180,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,6.651,205.60,3.43,25.15,138.82,85.62,207.98,-0.693,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,6.919,209.59,3.07,25.36,139.75,85.96,210.00,-0.133,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,8.426,217.55,2.92,26.13,143.58,87.51,219.66,-0.723,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,9.416,223.91,3.13,26.34,145.26,88.27,224.88,-0.312,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,9.901,222.46,3.84,26.36,145.92,88.60,227.21,-1.237,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,10.992,230.71,2.41,26.28,147.12,89.23,231.99,-0.533,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,12.460,239.11,2.25,25.92,148.29,89.92,237.67,0.638,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,12.890,237.61,3.39,25.76,148.56,90.09,239.21,-0.472,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,13.030,241.37,3.81,25.71,148.65,90.14,239.69,0.440,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,14.272,242.13,2.86,25.16,149.29,90.58,243.80,-0.587,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,14.442,243.74,3.95,25.07,149.37,90.63,244.34,-0.152,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,14.472,244.22,2.52,25.06,149.38,90.64,244.43,-0.083,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,16.230,250.51,2.29,24.08,150.03,91.13,249.64,0.382,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,16.615,250.78,2.73,23.84,150.15,91.23,250.71,0.024,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,16.730,252.53,3.14,23.77,150.18,91.25,251.03,0.478,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,18.280,254.93,2.63,22.76,150.57,91.59,255.11,-0.065,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,18.599,258.32,3.07,22.55,150.64,91.65,255.91,0.786,14.80,66.0,6.06,0.275,PASS
NGC5033,RADIAL_POINT,19.390,257.36,1.69,22.00,150.80,91.80,257.85,-0.292,14.80,66.0,6.06,0.275,PASS
NGC5371,GALAXY_SUMMARY,N/A,263.8,N/A,N/A,N/A,N/A,263.1,N/A,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,1.238,104.67,1.82,14.63,58.48,62.99,104.50,0.090,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,1.359,106.70,2.20,15.40,63.43,65.35,110.42,-1.697,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,1.410,110.94,2.86,15.71,65.46,66.27,112.84,-0.662,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,1.655,124.38,2.90,17.11,74.75,70.14,123.70,0.235,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,1.699,126.44,1.71,17.34,76.35,70.76,125.56,0.514,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,2.229,147.16,3.18,19.86,93.53,76.81,145.45,0.539,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,2.275,146.59,2.21,20.06,94.86,77.23,146.99,-0.180,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,2.643,157.80,4.07,21.49,104.60,80.24,158.40,-0.149,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,7.438,230.02,2.72,29.08,154.20,95.02,228.20,0.672,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,8.401,237.01,2.59,29.22,157.10,96.14,234.69,0.895,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,10.256,246.70,2.29,28.83,160.79,97.74,244.78,0.839,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,10.475,246.52,2.71,28.74,161.11,97.90,245.82,0.259,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,11.684,251.28,2.42,28.11,162.61,98.66,251.12,0.063,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,12.091,253.55,2.01,27.85,163.02,98.88,252.77,0.387,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,12.348,257.61,2.24,27.68,163.26,99.01,253.77,1.711,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,12.485,255.35,2.92,27.59,163.39,99.08,254.30,0.361,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,13.906,260.64,1.78,26.52,164.47,99.73,259.43,0.683,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,16.996,269.00,2.14,23.80,165.99,100.77,268.98,0.006,30.40,53.0,9.73,0.512,PASS
NGC5371,RADIAL_POINT,17.229,270.29,3.25,23.59,166.07,100.83,269.64,0.200,30.40,53.0,9.73,0.512,PASS
NGC5585,GALAXY_SUMMARY,N/A,124.6,N/A,N/A,N/A,N/A,122.1,N/A,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,0.396,32.82,2.06,3.76,17.20,0.00,29.17,1.771,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,1.055,54.37,3.01,6.57,38.31,0.00,57.62,-1.081,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,1.842,78.07,3.72,8.57,51.05,0.00,76.52,0.418,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,2.073,79.94,2.29,9.00,53.22,0.00,80.27,-0.141,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,2.926,89.64,3.62,10.15,58.14,0.00,90.40,-0.210,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,3.569,97.95,1.67,10.68,60.09,0.00,95.76,1.311,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,3.855,96.90,2.89,10.85,60.70,0.00,97.76,-0.300,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,5.080,104.44,2.33,11.18,62.34,0.00,104.73,-0.126,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,5.278,103.64,1.61,11.19,62.52,0.00,105.68,-1.269,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,6.085,108.65,2.50,11.13,63.06,0.00,109.20,-0.222,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,6.457,109.22,2.99,11.06,63.25,0.00,110.66,-0.484,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,6.460,111.13,3.04,11.06,63.25,0.00,110.68,0.149,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,6.492,111.12,3.71,11.05,63.26,0.00,110.80,0.088,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,6.499,109.65,3.37,11.05,63.27,0.00,110.83,-0.348,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,6.721,110.13,3.82,10.99,63.36,0.00,111.65,-0.399,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,6.809,111.33,2.24,10.97,63.40,0.00,111.98,-0.291,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,8.350,111.76,2.01,10.38,63.86,0.00,117.06,-2.630,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,8.719,117.23,2.72,10.21,63.93,0.00,118.15,-0.340,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,9.531,121.00,1.55,9.80,64.07,0.00,120.41,0.378,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,9.553,120.66,2.13,9.79,64.08,0.00,120.47,0.088,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,9.663,125.42,3.62,9.73,64.09,0.00,120.77,1.286,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,10.037,127.26,3.70,9.53,64.14,0.00,121.74,1.488,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,10.167,123.18,3.63,9.46,64.16,0.00,122.08,0.303,8.70,52.0,19.90,0.829,PASS
NGC5585,RADIAL_POINT,10.800,122.66,3.15,9.11,64.23,0.00,123.64,-0.312,8.70,52.0,19.90,0.829,PASS
NGC5907,GALAXY_SUMMARY,N/A,276.6,N/A,N/A,N/A,N/A,274.9,N/A,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,0.924,74.16,4.19,10.24,36.11,48.56,77.39,-0.773,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,1.196,91.61,2.71,11.92,45.97,55.13,90.77,0.312,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,1.784,114.73,3.49,14.93,65.48,64.99,115.10,-0.106,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,2.921,151.16,1.68,19.23,95.14,75.71,150.53,0.375,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,5.124,192.39,1.51,24.32,127.86,85.19,192.45,-0.038,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,5.632,198.95,2.56,25.10,132.36,86.49,199.00,-0.020,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,6.903,215.80,2.12,26.57,140.70,89.00,212.32,1.643,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,7.452,214.51,2.03,27.04,143.36,89.85,217.05,-1.258,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,8.242,224.17,2.54,27.55,146.48,90.90,223.07,0.434,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,8.930,224.56,3.64,27.86,148.66,91.68,227.69,-0.859,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,9.075,228.87,2.00,27.92,149.07,91.83,228.61,0.133,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,9.122,228.96,2.77,27.93,149.20,91.88,228.90,0.021,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,9.483,229.94,2.97,28.04,150.13,92.23,231.08,-0.381,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,10.987,239.73,2.55,28.23,153.22,93.47,239.09,0.251,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,11.305,242.37,2.45,28.22,153.73,93.70,240.61,0.720,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,11.671,240.37,2.41,28.20,154.28,93.94,242.29,-0.792,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,11.672,241.42,1.72,28.20,154.29,93.94,242.29,-0.508,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,12.289,244.69,3.98,28.11,155.11,94.32,244.99,-0.075,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,15.043,254.85,2.61,27.24,157.74,95.66,255.34,-0.189,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,15.252,250.56,2.83,27.15,157.89,95.75,256.04,-1.938,16.30,87.0,16.40,0.529,PASS
NGC5907,RADIAL_POINT,16.734,264.40,3.84,26.41,158.79,96.28,260.72,0.956,16.30,87.0,16.40,0.529,PASS
